medalist_name,medal,country_medal,date_of_birth,place_of_birth,place_of_birth_located_in,event_name
Siobhán Haughey,bronze,Hong Kong,1997-10-31,Hong Kong,People's Republic of China,Swimming at the 2024 Summer Olympics – Women's 100 metre freestyle
Mollie O'Callaghan,gold,Australia,2004-04-02,Queensland,Australia,Swimming at the 2024 Summer Olympics – Women's 200 metre freestyle
Ariarne Titmus,silver,Australia,2000-09-07,Launceston,City of Launceston,Swimming at the 2024 Summer Olympics – Women's 200 metre freestyle
Siobhán Haughey,bronze,Hong Kong,1997-10-31,Hong Kong,People's Republic of China,Swimming at the 2024 Summer Olympics – Women's 200 metre freestyle
Ariarne Titmus,gold,Australia,2000-09-07,Launceston,City of Launceston,Swimming at the 2024 Summer Olympics – Women's 400 metre freestyle
Summer McIntosh,silver,Canada,2006-08-18,Toronto,Ontario,Swimming at the 2024 Summer Olympics – Women's 400 metre freestyle
Katie Ledecky,bronze,United States of America,1997-03-17,"Washington, D.C.",District of Columbia,Swimming at the 2024 Summer Olympics – Women's 400 metre freestyle
Katie Ledecky,gold,United States of America,1997-03-17,"Washington, D.C.",District of Columbia,swimming at the 2024 Summer Olympics – women's 800 metre freestyle
Ariarne Titmus,silver,Australia,2000-09-07,Launceston,City of Launceston,swimming at the 2024 Summer Olympics – women's 800 metre freestyle
Paige Madden,bronze,United States of America,1998-10-22,Mobile,Mobile County,swimming at the 2024 Summer Olympics – women's 800 metre freestyle
Katie Ledecky,gold,United States of America,1997-03-17,"Washington, D.C.",District of Columbia,Swimming at the 2024 Summer Olympics – Women's 1500 metre freestyle
Anastasiya Kirpichnikova,silver,France,2000-06-24,Asbest,Asbest Urban Okrug,Swimming at the 2024 Summer Olympics – Women's 1500 metre freestyle
Isabel Marie Gose,bronze,Germany,2002-05-09,Berlin,Germany,Swimming at the 2024 Summer Olympics – Women's 1500 metre freestyle
Kaylee McKeown,gold,Australia,2001-07-12,Redcliffe,City of Moreton Bay,Swimming at the 2024 Summer Olympics – Women's 100 metre backstroke
Regan Smith,silver,United States of America,2002-02-09,Lakeville,Dakota County,Swimming at the 2024 Summer Olympics – Women's 100 metre backstroke
Katharine Berkoff,bronze,United States of America,2001-01-28,Missoula,Missoula County,Swimming at the 2024 Summer Olympics – Women's 100 metre backstroke
Kaylee McKeown,gold,Australia,2001-07-12,Redcliffe,City of Moreton Bay,swimming at the 2024 Summer Olympics – women's 200 metre backstroke
Regan Smith,silver,United States of America,2002-02-09,Lakeville,Dakota County,swimming at the 2024 Summer Olympics – women's 200 metre backstroke
Kylie Masse,bronze,Canada,1996-01-18,Windsor,Essex County,swimming at the 2024 Summer Olympics – women's 200 metre backstroke
Tatjana Smith,gold,South Africa,1997-07-09,Johannesburg,City of Johannesburg Metropolitan Municipality,swimming at the 2024 Summer Olympics – women's 100 metre breaststroke
Tang Qianting,silver,People's Republic of China,2004-03-14,Shanghai,People's Republic of China,swimming at the 2024 Summer Olympics – women's 100 metre breaststroke
Mona McSharry,bronze,Republic of Ireland,2000-08-21,"Grange, County Sligo",County Sligo,swimming at the 2024 Summer Olympics – women's 100 metre breaststroke
Kate Douglass,gold,United States of America,2001-11-17,New York City,New York,swimming at the 2024 Summer Olympics – women's 200 metre breaststroke
Tatjana Smith,silver,South Africa,1997-07-09,Johannesburg,City of Johannesburg Metropolitan Municipality,swimming at the 2024 Summer Olympics – women's 200 metre breaststroke
Tes Schouten,bronze,Netherlands,2000-12-31,Bodegraven,Bodegraven-Reeuwijk,swimming at the 2024 Summer Olympics – women's 200 metre breaststroke
Torri Huske,gold,United States of America,2002-12-07,Arlington County,Virginia,Swimming at the 2024 Summer Olympics – Women's 100 metre butterfly
Gretchen Walsh,silver,United States of America,2003-01-29,Nashville,Davidson County,Swimming at the 2024 Summer Olympics – Women's 100 metre butterfly
Zhang Yufei,bronze,People's Republic of China,1998-04-19,Xuzhou,Jiangsu,Swimming at the 2024 Summer Olympics – Women's 100 metre butterfly
Summer McIntosh,gold,Canada,2006-08-18,Toronto,Ontario,swimming at the 2024 Summer Olympics – women's 200 metre butterfly
Regan Smith,silver,United States of America,2002-02-09,Lakeville,Dakota County,swimming at the 2024 Summer Olympics – women's 200 metre butterfly
Zhang Yufei,bronze,People's Republic of China,1998-04-19,Xuzhou,Jiangsu,swimming at the 2024 Summer Olympics – women's 200 metre butterfly
Summer McIntosh,gold,Canada,2006-08-18,Toronto,Ontario,swimming at the 2024 Summer Olympics – women's 200 metre individual medley
Kate Douglass,silver,United States of America,2001-11-17,New York City,New York,swimming at the 2024 Summer Olympics – women's 200 metre individual medley
Kaylee McKeown,bronze,Australia,2001-07-12,Redcliffe,City of Moreton Bay,swimming at the 2024 Summer Olympics – women's 200 metre individual medley
Summer McIntosh,gold,Canada,2006-08-18,Toronto,Ontario,Swimming at the 2024 Summer Olympics – Women's 400 metre individual medley
Katie Grimes,silver,United States of America,2006-01-08,Las Vegas,Clark County,Swimming at the 2024 Summer Olympics – Women's 400 metre individual medley
Emma Weyant,bronze,United States of America,2001-12-24,Sarasota,Sarasota County,Swimming at the 2024 Summer Olympics – Women's 400 metre individual medley
Mollie O'Callaghan,gold,Australia,2004-04-02,Queensland,Australia,swimming at the 2024 Summer Olympics – women's 4 × 100 metre freestyle relay
Shayna Jack,gold,Australia,1998-11-06,Sunnybank,Queensland,swimming at the 2024 Summer Olympics – women's 4 × 100 metre freestyle relay
Emma McKeon,gold,Australia,1994-05-24,Wollongong,City of Wollongong,swimming at the 2024 Summer Olympics – women's 4 × 100 metre freestyle relay
Meg Harris,gold,Australia,2002-03-07,Albury,New South Wales,swimming at the 2024 Summer Olympics – women's 4 × 100 metre freestyle relay
Olivia Wunsch,gold,Australia,2006-05-31,North Sydney,New South Wales,swimming at the 2024 Summer Olympics – women's 4 × 100 metre freestyle relay
Bronte Campbell,gold,Australia,1994-05-14,Blantyre,Blantyre District,swimming at the 2024 Summer Olympics – women's 4 × 100 metre freestyle relay
Kate Douglass,silver,United States of America,2001-11-17,New York City,New York,swimming at the 2024 Summer Olympics – women's 4 × 100 metre freestyle relay
Gretchen Walsh,silver,United States of America,2003-01-29,Nashville,Davidson County,swimming at the 2024 Summer Olympics – women's 4 × 100 metre freestyle relay
Torri Huske,silver,United States of America,2002-12-07,Arlington County,Virginia,swimming at the 2024 Summer Olympics – women's 4 × 100 metre freestyle relay
Simone Manuel,silver,United States of America,1996-08-02,Houston,Harris County,swimming at the 2024 Summer Olympics – women's 4 × 100 metre freestyle relay
Abbey Weitzeil,silver,United States of America,1996-12-03,Valencia,Santa Clarita,swimming at the 2024 Summer Olympics – women's 4 × 100 metre freestyle relay
Erika Connolly,silver,United States of America,1998-08-27,Modesto,Stanislaus County,swimming at the 2024 Summer Olympics – women's 4 × 100 metre freestyle relay
Yang Junxuan,bronze,People's Republic of China,2002-01-26,Zibo,Shandong,swimming at the 2024 Summer Olympics – women's 4 × 100 metre freestyle relay
Cheng Yujie,bronze,People's Republic of China,2005-09-22,Jingdezhen,Jiangxi,swimming at the 2024 Summer Olympics – women's 4 × 100 metre freestyle relay
Zhang Yufei,bronze,People's Republic of China,1998-04-19,Xuzhou,Jiangsu,swimming at the 2024 Summer Olympics – women's 4 × 100 metre freestyle relay
Wu Qingfeng,bronze,People's Republic of China,2003-01-28,Shaoxing,Zhejiang,swimming at the 2024 Summer Olympics – women's 4 × 100 metre freestyle relay
Yu Yiting,bronze,People's Republic of China,2005-09-05,NA,NA,swimming at the 2024 Summer Olympics – women's 4 × 100 metre freestyle relay
Mollie O'Callaghan,gold,Australia,2004-04-02,Queensland,Australia,swimming at the 2024 Summer Olympics – women's 4 × 200 metre freestyle relay
Lani Pallister,gold,Australia,2002-06-06,Sydney,New South Wales,swimming at the 2024 Summer Olympics – women's 4 × 200 metre freestyle relay
Brianna Throssell,gold,Australia,1996-02-10,Subiaco,City of Subiaco,swimming at the 2024 Summer Olympics – women's 4 × 200 metre freestyle relay
Ariarne Titmus,gold,Australia,2000-09-07,Launceston,City of Launceston,swimming at the 2024 Summer Olympics – women's 4 × 200 metre freestyle relay
Jamie Perkins,gold,Australia,NA,NA,NA,swimming at the 2024 Summer Olympics – women's 4 × 200 metre freestyle relay
Shayna Jack,gold,Australia,1998-11-06,Sunnybank,Queensland,swimming at the 2024 Summer Olympics – women's 4 × 200 metre freestyle relay
Claire Weinstein,silver,United States of America,2007-03-01,White Plains,Westchester County,swimming at the 2024 Summer Olympics – women's 4 × 200 metre freestyle relay
Paige Madden,silver,United States of America,1998-10-22,Mobile,Mobile County,swimming at the 2024 Summer Olympics – women's 4 × 200 metre freestyle relay
Katie Ledecky,silver,United States of America,1997-03-17,"Washington, D.C.",District of Columbia,swimming at the 2024 Summer Olympics – women's 4 × 200 metre freestyle relay
Erin Gemmell,silver,United States of America,2004-12-02,NA,NA,swimming at the 2024 Summer Olympics – women's 4 × 200 metre freestyle relay
Anna Peplowski,silver,United States of America,2002-09-25,Germantown Hills,Woodford County,swimming at the 2024 Summer Olympics – women's 4 × 200 metre freestyle relay
Simone Manuel,silver,United States of America,1996-08-02,Houston,Harris County,swimming at the 2024 Summer Olympics – women's 4 × 200 metre freestyle relay
Alex Shackell,silver,United States of America,2006-11-13,Mission Viejo,Orange County,swimming at the 2024 Summer Olympics – women's 4 × 200 metre freestyle relay
Yang Junxuan,bronze,People's Republic of China,2002-01-26,Zibo,Shandong,swimming at the 2024 Summer Olympics – women's 4 × 200 metre freestyle relay
Li Bingjie,bronze,People's Republic of China,2002-03-03,Baoding,Hebei,swimming at the 2024 Summer Olympics – women's 4 × 200 metre freestyle relay
Ge Chutong,bronze,People's Republic of China,2003-09-23,Zhifu District,Yantai,swimming at the 2024 Summer Olympics – women's 4 × 200 metre freestyle relay
Liu Yaxin,bronze,People's Republic of China,1999-06-16,Lishui,Zhejiang,swimming at the 2024 Summer Olympics – women's 4 × 200 metre freestyle relay
Tang Muhan,bronze,People's Republic of China,2003-09-04,Changchun,Jilin,swimming at the 2024 Summer Olympics – women's 4 × 200 metre freestyle relay
Kong Yaqi,bronze,People's Republic of China,NA,NA,NA,swimming at the 2024 Summer Olympics – women's 4 × 200 metre freestyle relay
Regan Smith,gold,United States of America,2002-02-09,Lakeville,Dakota County,swimming at the 2024 Summer Olympics – women's 4 × 100 metre medley relay
Lilly King,gold,United States of America,1997-02-10,Evansville,Vanderburgh County,swimming at the 2024 Summer Olympics – women's 4 × 100 metre medley relay
Gretchen Walsh,gold,United States of America,2003-01-29,Nashville,Davidson County,swimming at the 2024 Summer Olympics – women's 4 × 100 metre medley relay
Torri Huske,gold,United States of America,2002-12-07,Arlington County,Virginia,swimming at the 2024 Summer Olympics – women's 4 × 100 metre medley relay
Katharine Berkoff,gold,United States of America,2001-01-28,Missoula,Missoula County,swimming at the 2024 Summer Olympics – women's 4 × 100 metre medley relay
Emma Weber,gold,United States of America,2004-01-13,Denver,Denver County,swimming at the 2024 Summer Olympics – women's 4 × 100 metre medley relay
Alex Shackell,gold,United States of America,2006-11-13,Mission Viejo,Orange County,swimming at the 2024 Summer Olympics – women's 4 × 100 metre medley relay
Kate Douglass,gold,United States of America,2001-11-17,New York City,New York,swimming at the 2024 Summer Olympics – women's 4 × 100 metre medley relay
Kaylee McKeown,silver,Australia,2001-07-12,Redcliffe,City of Moreton Bay,swimming at the 2024 Summer Olympics – women's 4 × 100 metre medley relay
Jenna Strauch,silver,Australia,1997-03-24,Bendigo,City of Greater Bendigo,swimming at the 2024 Summer Olympics – women's 4 × 100 metre medley relay
Emma McKeon,silver,Australia,1994-05-24,Wollongong,City of Wollongong,swimming at the 2024 Summer Olympics – women's 4 × 100 metre medley relay
Mollie O'Callaghan,silver,Australia,2004-04-02,Queensland,Australia,swimming at the 2024 Summer Olympics – women's 4 × 100 metre medley relay
Iona Anderson,silver,Australia,2005-10-03,Duncraig,Western Australia,swimming at the 2024 Summer Olympics – women's 4 × 100 metre medley relay
Ella Ramsay,silver,Australia,2004-07-12,Ipswich,City of Ipswich,swimming at the 2024 Summer Olympics – women's 4 × 100 metre medley relay
Alexandria Perkins,silver,Australia,2000-07-27,Southport,City of Gold Coast,swimming at the 2024 Summer Olympics – women's 4 × 100 metre medley relay
Meg Harris,silver,Australia,2002-03-07,Albury,New South Wales,swimming at the 2024 Summer Olympics – women's 4 × 100 metre medley relay
Wan Letian,bronze,People's Republic of China,2004-01-01,NA,NA,swimming at the 2024 Summer Olympics – women's 4 × 100 metre medley relay
Tang Qianting,bronze,People's Republic of China,2004-03-14,Shanghai,People's Republic of China,swimming at the 2024 Summer Olympics – women's 4 × 100 metre medley relay
Zhang Yufei,bronze,People's Republic of China,1998-04-19,Xuzhou,Jiangsu,swimming at the 2024 Summer Olympics – women's 4 × 100 metre medley relay
Yang Junxuan,bronze,People's Republic of China,2002-01-26,Zibo,Shandong,swimming at the 2024 Summer Olympics – women's 4 × 100 metre medley relay
Wang Xueer,bronze,People's Republic of China,1998-01-15,Anqing,Anhui,swimming at the 2024 Summer Olympics – women's 4 × 100 metre medley relay
Yu Yiting,bronze,People's Republic of China,2005-09-05,NA,NA,swimming at the 2024 Summer Olympics – women's 4 × 100 metre medley relay
Wu Qingfeng,bronze,People's Republic of China,2003-01-28,Shaoxing,Zhejiang,swimming at the 2024 Summer Olympics – women's 4 × 100 metre medley relay
Sharon van Rouwendaal,gold,Netherlands,1993-09-09,Baarn,Utrecht,swimming at the 2024 Summer Olympics – women's marathon 10 kilometre
Ginevra Taddeucci,bronze,Italy,1997-05-03,Florence,Metropolitan City of Florence,swimming at the 2024 Summer Olympics – women's marathon 10 kilometre
Ryan Murphy,gold,United States of America,1995-07-02,Jacksonville,Duval County,swimming at the 2024 Summer Olympics – mixed 4 × 100 metre medley relay
Nic Fink,gold,United States of America,1993-07-03,Houston,Harris County,swimming at the 2024 Summer Olympics – mixed 4 × 100 metre medley relay
Gretchen Walsh,gold,United States of America,2003-01-29,Nashville,Davidson County,swimming at the 2024 Summer Olympics – mixed 4 × 100 metre medley relay
Torri Huske,gold,United States of America,2002-12-07,Arlington County,Virginia,swimming at the 2024 Summer Olympics – mixed 4 × 100 metre medley relay
Regan Smith,gold,United States of America,2002-02-09,Lakeville,Dakota County,swimming at the 2024 Summer Olympics – mixed 4 × 100 metre medley relay
Charlie Swanson,gold,United States of America,1998-02-20,Richmond,Virginia,swimming at the 2024 Summer Olympics – mixed 4 × 100 metre medley relay
Caeleb Dressel,gold,United States of America,1996-08-16,Orange Park,Clay County,swimming at the 2024 Summer Olympics – mixed 4 × 100 metre medley relay
Abbey Weitzeil,gold,United States of America,1996-12-03,Valencia,Santa Clarita,swimming at the 2024 Summer Olympics – mixed 4 × 100 metre medley relay
Xu Jiayu,silver,People's Republic of China,1995-08-19,Wenzhou,Zhejiang,swimming at the 2024 Summer Olympics – mixed 4 × 100 metre medley relay
Qin Haiyang,silver,People's Republic of China,1999-05-17,Zhuzhou,Hunan,swimming at the 2024 Summer Olympics – mixed 4 × 100 metre medley relay
Zhang Yufei,silver,People's Republic of China,1998-04-19,Xuzhou,Jiangsu,swimming at the 2024 Summer Olympics – mixed 4 × 100 metre medley relay
Yang Junxuan,silver,People's Republic of China,2002-01-26,Zibo,Shandong,swimming at the 2024 Summer Olympics – mixed 4 × 100 metre medley relay
Tang Qianting,silver,People's Republic of China,2004-03-14,Shanghai,People's Republic of China,swimming at the 2024 Summer Olympics – mixed 4 × 100 metre medley relay
Pan Zhanle,silver,People's Republic of China,2004-08-04,Wenzhou,Zhejiang,swimming at the 2024 Summer Olympics – mixed 4 × 100 metre medley relay
Kaylee McKeown,bronze,Australia,2001-07-12,Redcliffe,City of Moreton Bay,swimming at the 2024 Summer Olympics – mixed 4 × 100 metre medley relay
Joshua Yong,bronze,Australia,2001-07-24,Bandar Seri Begawan,Brunei-Muara District,swimming at the 2024 Summer Olympics – mixed 4 × 100 metre medley relay
Matthew Temple,bronze,Australia,1999-06-20,Victoria,Australia,swimming at the 2024 Summer Olympics – mixed 4 × 100 metre medley relay
Mollie O'Callaghan,bronze,Australia,2004-04-02,Queensland,Australia,swimming at the 2024 Summer Olympics – mixed 4 × 100 metre medley relay
Iona Anderson,bronze,Australia,2005-10-03,Duncraig,Western Australia,swimming at the 2024 Summer Olympics – mixed 4 × 100 metre medley relay
Zac Stubblety-Cook,bronze,Australia,1999-01-04,Brisbane,Queensland,swimming at the 2024 Summer Olympics – mixed 4 × 100 metre medley relay
Emma McKeon,bronze,Australia,1994-05-24,Wollongong,City of Wollongong,swimming at the 2024 Summer Olympics – mixed 4 × 100 metre medley relay
Kyle Chalmers,bronze,Australia,1998-06-25,Port Lincoln,South Australia,swimming at the 2024 Summer Olympics – mixed 4 × 100 metre medley relay
Fan Zhendong,gold,People's Republic of China,1997-01-22,Guangzhou,Guangdong,table tennis at the 2024 Summer Olympics – men's singles
Truls Möregårdh,silver,Sweden,2002-02-16,Växjö Municipality,Kronoberg County,table tennis at the 2024 Summer Olympics – men's singles
Félix Lebrun,bronze,France,2006-09-12,Montpellier,Hérault,table tennis at the 2024 Summer Olympics – men's singles
Fan Zhendong,gold,People's Republic of China,1997-01-22,Guangzhou,Guangdong,table tennis at the 2024 Summer Olympics – men's team
Ma Long,gold,People's Republic of China,1988-10-20,Anshan,Liaoning,table tennis at the 2024 Summer Olympics – men's team
Wang Chuqin,gold,People's Republic of China,2000-05-11,Jilin City,Jilin,table tennis at the 2024 Summer Olympics – men's team
Anton Källberg,silver,Sweden,1997-08-17,Sollentuna parish,Sollentuna Municipality,table tennis at the 2024 Summer Olympics – men's team
Kristian Karlsson,silver,Sweden,1991-08-06,Trollhättan,Trollhättan Municipality,table tennis at the 2024 Summer Olympics – men's team
Truls Möregårdh,silver,Sweden,2002-02-16,Växjö Municipality,Kronoberg County,table tennis at the 2024 Summer Olympics – men's team
Simon Gauzy,bronze,France,1994-10-25,Toulouse,Haute-Garonne,table tennis at the 2024 Summer Olympics – men's team
Alexis Lebrun,bronze,France,2003-08-27,Montpellier,Hérault,table tennis at the 2024 Summer Olympics – men's team
Félix Lebrun,bronze,France,2006-09-12,Montpellier,Hérault,table tennis at the 2024 Summer Olympics – men's team
Chen Meng,gold,People's Republic of China,1994-01-15,Qingdao,Shandong,table tennis at the 2024 Summer Olympics – women's singles
Sun Yingsha,silver,People's Republic of China,2000-11-04,Shijiazhuang,Hebei,table tennis at the 2024 Summer Olympics – women's singles
Hina Hayata,bronze,Japan,2000-07-07,Kitakyushu,Fukuoka Prefecture,table tennis at the 2024 Summer Olympics – women's singles
Sun Yingsha,gold,People's Republic of China,2000-11-04,Shijiazhuang,Hebei,table tennis at the 2024 Summer Olympics – women's team
Wang Manyu,gold,People's Republic of China,1999-02-09,Qiqihar,Heilongjiang,table tennis at the 2024 Summer Olympics – women's team
Chen Meng,gold,People's Republic of China,1994-01-15,Qingdao,Shandong,table tennis at the 2024 Summer Olympics – women's team
Hina Hayata,silver,Japan,2000-07-07,Kitakyushu,Fukuoka Prefecture,table tennis at the 2024 Summer Olympics – women's team
Miwa Harimoto,silver,Japan,2008-01-01,Sendai,Miyagi Prefecture,table tennis at the 2024 Summer Olympics – women's team
Miu Hirano,silver,Japan,2000-04-14,Numazu,Shizuoka Prefecture,table tennis at the 2024 Summer Olympics – women's team
Shin Yu-bin,bronze,South Korea,2004-07-05,Suwon,Gyeonggi,table tennis at the 2024 Summer Olympics – women's team
Jeon Jihee,bronze,South Korea,1992-10-28,Langfang,Hebei,table tennis at the 2024 Summer Olympics – women's team
Wang Chuqin,gold,People's Republic of China,2000-05-11,Jilin City,Jilin,Table tennis at the 2024 Summer Olympics – Mixed doubles
Sun Yingsha,gold,People's Republic of China,2000-11-04,Shijiazhuang,Hebei,Table tennis at the 2024 Summer Olympics – Mixed doubles
Ri Jong-sik,silver,North Korea,2000-02-14,Pyongyang,North Korea,Table tennis at the 2024 Summer Olympics – Mixed doubles
Kim Kum-yong,silver,North Korea,2001-08-17,Pyongyang,North Korea,Table tennis at the 2024 Summer Olympics – Mixed doubles
Lim Jong-hoon,bronze,South Korea,1997-01-21,Busan,South Korea,Table tennis at the 2024 Summer Olympics – Mixed doubles
Shin Yu-bin,bronze,South Korea,2004-07-05,Suwon,Gyeonggi,Table tennis at the 2024 Summer Olympics – Mixed doubles
Park Tae-joon,gold,South Korea,2004-06-06,Ulsan,South Korea,taekwondo at the 2024 Summer Olympics – men's 58 kg
Gashim Magomedov,silver,Azerbaijan,1999-09-22,Teletl,Teletlinsky selsoviet,taekwondo at the 2024 Summer Olympics – men's 58 kg
Cyrian Ravet,bronze,France,2002-09-05,Décines-Charpieu,Metropolis of Lyon,taekwondo at the 2024 Summer Olympics – men's 58 kg
Mohamed Khalil Jendoubi,bronze,Tunisia,2002-06-01,Tebourba,Manouba Governorate,taekwondo at the 2024 Summer Olympics – men's 58 kg
Ulugbek Rashitov,gold,Uzbekistan,2002-03-23,Tashkent,Uzbekistan,taekwondo at the 2024 Summer Olympics – men's 68 kg
Liang Yushuai,bronze,People's Republic of China,2000-09-10,NA,NA,taekwondo at the 2024 Summer Olympics – men's 68 kg
Edival Marques,bronze,Brazil,NA,NA,NA,taekwondo at the 2024 Summer Olympics – men's 68 kg
Firas Katoussi,gold,Tunisia,1995-09-06,NA,NA,taekwondo at the 2024 Summer Olympics – men's 80 kg
Mehran Barkhordari,silver,Iran,2000-07-26,Qazvin,Central District,taekwondo at the 2024 Summer Olympics – men's 80 kg
Simone Alessio,bronze,Italy,2000-04-14,Livorno,Province of Livorno,taekwondo at the 2024 Summer Olympics – men's 80 kg
Edi Hrnic,bronze,Denmark,2003-12-26,Brøndby Municipality,Capital Region of Denmark,taekwondo at the 2024 Summer Olympics – men's 80 kg
Arian Salimi,gold,Iran,2003-12-16,Kermanshah,Central District,taekwondo at the 2024 Summer Olympics – men's +80 kg
Caden Cunningham,silver,United Kingdom,2003-05-07,Huddersfield,Kirklees,taekwondo at the 2024 Summer Olympics – men's +80 kg
Rafael Castillo,bronze,Cuba,1993-08-12,Santiago de Cuba,Santiago de Cuba Province,taekwondo at the 2024 Summer Olympics – men's +80 kg
Cheick Sallah Cissé,bronze,Ivory Coast,1993-09-19,Bouaké,Bouaké Department,taekwondo at the 2024 Summer Olympics – men's +80 kg
Panipak Wongpattanakit,gold,Thailand,1997-08-08,Surat Thani,Mueang Surat Thani,taekwondo at the 2024 Summer Olympics – women's 49 kg
Guo Qing,silver,People's Republic of China,2000-05-16,NA,NA,taekwondo at the 2024 Summer Olympics – women's 49 kg
Mobina Nematzadeh,bronze,Iran,2005-05-17,Tehran,Central District,taekwondo at the 2024 Summer Olympics – women's 49 kg
Lena Stojković,bronze,Croatia,2002-01-03,Split,Split-Dalmatia County,taekwondo at the 2024 Summer Olympics – women's 49 kg
Kim Yu-jin,gold,South Korea,2000-10-17,Danyang County,North Chungcheong,taekwondo at the 2024 Summer Olympics – women's 57 kg
Nahid Kiani,silver,Iran,1998-08-01,Isfahan,Central District,taekwondo at the 2024 Summer Olympics – women's 57 kg
Skylar Park,bronze,Canada,1999-06-06,Winnipeg,Winnipeg Metropolitan Region,taekwondo at the 2024 Summer Olympics – women's 57 kg
Kimia Alizadeh,bronze,Bulgaria,1998-07-10,Karaj,Central District,taekwondo at the 2024 Summer Olympics – women's 57 kg
Viviana Márton,gold,Hungary,2006-02-16,Tenerife,Santa Cruz de Tenerife Province,taekwondo at the 2024 Summer Olympics – women's 67 kg
Aleksandra Perišić,silver,Serbia,2002-07-02,Belgrade,City of Belgrade,taekwondo at the 2024 Summer Olympics – women's 67 kg
Kristina Teachout,bronze,United States of America,2005-09-13,Palm Bay,Brevard County,taekwondo at the 2024 Summer Olympics – women's 67 kg
Sarah Chaâri,bronze,Belgium,2005-05-02,Charleroi,Arrondissement of Charleroi,taekwondo at the 2024 Summer Olympics – women's 67 kg
Althéa Laurin,gold,France,2001-09-01,Épinay-sur-Seine,Seine,taekwondo at the 2024 Summer Olympics – women's +67 kg
Svetlana Osipova,silver,Uzbekistan,2000-05-03,Chirchiq,Tashkent Region,taekwondo at the 2024 Summer Olympics – women's +67 kg
Lee Da-bin,bronze,South Korea,1996-12-07,South Korea,NA,taekwondo at the 2024 Summer Olympics – women's +67 kg
Nafia Kuş,bronze,Turkey,1995-02-20,Adana,Adana Province,taekwondo at the 2024 Summer Olympics – women's +67 kg
Novak Djokovic,gold,Serbia,1987-05-22,Belgrade,City of Belgrade,Tennis at the 2024 Summer Olympics – Men's singles
Carlos Alcaraz,silver,Spain,2003-05-05,El Palmar,Murcia,Tennis at the 2024 Summer Olympics – Men's singles
Lorenzo Musetti,bronze,Italy,2002-03-03,Carrara,Province of Massa-Carrara,Tennis at the 2024 Summer Olympics – Men's singles
Matthew Ebden,gold,Australia,1987-11-26,Durban,eThekwini Metropolitan Municipality,Tennis at the 2024 Summer Olympics – Men's doubles
John Peers,gold,Australia,1988-07-25,Melbourne,Victoria,Tennis at the 2024 Summer Olympics – Men's doubles
Austin Krajicek,silver,United States of America,1990-06-16,Tampa,Hillsborough County,Tennis at the 2024 Summer Olympics – Men's doubles
Rajeev Ram,silver,United States of America,1984-03-18,Denver,Denver County,Tennis at the 2024 Summer Olympics – Men's doubles
Taylor Fritz,bronze,United States of America,1997-10-28,Rancho Santa Fe,San Diego County,Tennis at the 2024 Summer Olympics – Men's doubles
Tommy Paul,bronze,United States of America,1997-05-17,Camden County,New Jersey,Tennis at the 2024 Summer Olympics – Men's doubles
Zheng Qinwen,gold,People's Republic of China,2002-10-08,Shiyan,Hubei,Tennis at the 2024 Summer Olympics – Women's singles
Donna Vekić,silver,Croatia,1996-06-28,Osijek,Osijek-Baranja County,Tennis at the 2024 Summer Olympics – Women's singles
Iga Świątek,bronze,Poland,2001-05-31,Warsaw,Masovian Voivodeship,Tennis at the 2024 Summer Olympics – Women's singles
Sara Errani,gold,Italy,1987-04-29,Bologna,Metropolitan City of Bologna,Tennis at the 2024 Summer Olympics – Women's doubles
Jasmine Paolini,gold,Italy,1996-01-04,Castelnuovo di Garfagnana,Province of Lucca,Tennis at the 2024 Summer Olympics – Women's doubles
Mirra Andreeva,silver,NA,2007-04-29,Krasnoyarsk,krai city of Krasnoyarsk,Tennis at the 2024 Summer Olympics – Women's doubles
Diana Shnaider,silver,NA,2004-04-02,Zhigulyovsk,Zhigulyovsk Urban Okrug,Tennis at the 2024 Summer Olympics – Women's doubles
Cristina Bucșa,bronze,Spain,1998-01-01,Chișinău,Chișinău Municipality,Tennis at the 2024 Summer Olympics – Women's doubles
Sara Sorribes Tormo,bronze,Spain,1996-10-08,La Vall d'Uixó,Plana Baixa,Tennis at the 2024 Summer Olympics – Women's doubles
Kateřina Siniaková,gold,Czech Republic,1996-05-10,Hradec Králové,Hradec Králové District,Tennis at the 2024 Summer Olympics – Mixed doubles
Tomáš Macháč,gold,Czech Republic,2000-10-13,Beroun,NA,Tennis at the 2024 Summer Olympics – Mixed doubles
Xinyu Wang,silver,People's Republic of China,2001-09-26,Shenzhen,Guangdong,Tennis at the 2024 Summer Olympics – Mixed doubles
Zhang Zhizhen,silver,People's Republic of China,1996-10-16,Shanghai,People's Republic of China,Tennis at the 2024 Summer Olympics – Mixed doubles
Gabriela Dabrowski,bronze,Canada,1992-04-01,Ottawa,Ontario,Tennis at the 2024 Summer Olympics – Mixed doubles
Félix Auger-Aliassime,bronze,Canada,2000-08-08,Montreal,Urban agglomeration of Montreal,Tennis at the 2024 Summer Olympics – Mixed doubles
Alex Yee,gold,United Kingdom,1998-02-18,Lewisham,London Borough of Lewisham,triathlon at the 2024 Summer Olympics
Hayden Wilde,silver,New Zealand,1997-09-01,Taupō,Taupo District,triathlon at the 2024 Summer Olympics
